,delta_da,label,counts,score,dC,dH,dN,dO
136,66.01056468403,C+4 H+2 O+1,"{'C': 4, 'H': 2, 'O': 1}",66.01056468403,4,2,0,1
137,66.04695019338,C+5 H+6,"{'C': 5, 'H': 6}",66.04695019338,5,6,0,0
138,67.98982923914,C+3 O+2,"{'C': 3, 'O': 2}",67.98982923914,3,0,0,2
139,68.02621474849,C+4 H+4 O+1,"{'C': 4, 'H': 4, 'O': 1}",68.02621474849,4,4,0,1
140,68.06260025784,C+5 H+8,"{'C': 5, 'H': 8}",68.06260025784,5,8,0,0
141,69.96909379425,C+2 H-2 O+3,"{'C': 2, 'H': -2, 'O': 3}",74.00039392317001,2,-2,0,3
142,70.0054793036,C+3 H+2 O+2,"{'C': 3, 'H': 2, 'O': 2}",70.0054793036,3,2,0,2
143,70.04186481295,C+4 H+6 O+1,"{'C': 4, 'H': 6, 'O': 1}",70.04186481295,4,6,0,1
144,70.0782503223,C+5 H+10,"{'C': 5, 'H': 10}",70.0782503223,5,10,0,0
145,71.98474385871,C+2 O+3,"{'C': 2, 'O': 3}",71.98474385871,2,0,0,3
146,72.02112936806,C+3 H+4 O+2,"{'C': 3, 'H': 4, 'O': 2}",72.02112936806,3,4,0,2
147,72.05751487741,C+4 H+8 O+1,"{'C': 4, 'H': 8, 'O': 1}",72.05751487741,4,8,0,1
148,73.96400841382,C+1 H-2 O+4,"{'C': 1, 'H': -2, 'O': 4}",77.99530854274,1,-2,0,4
149,74.00039392317001,C+2 H+2 O+3,"{'C': 2, 'H': 2, 'O': 3}",74.00039392317001,2,2,0,3
150,74.03677943252,C+3 H+6 O+2,"{'C': 3, 'H': 6, 'O': 2}",74.03677943252,3,6,0,2
151,74.07316494187,C+4 H+10 O+1,"{'C': 4, 'H': 10, 'O': 1}",74.07316494187,4,10,0,1
152,75.97965847828,C+1 O+4,"{'C': 1, 'O': 4}",75.97965847828,1,0,0,4
153,76.01604398763001,C+2 H+4 O+3,"{'C': 2, 'H': 4, 'O': 3}",76.01604398763001,2,4,0,3
154,76.03130012892,C+6 H+4,"{'C': 6, 'H': 4}",76.03130012892,6,4,0,0
155,76.05242949698001,C+3 H+8 O+2,"{'C': 3, 'H': 8, 'O': 2}",76.05242949698001,3,8,0,2
156,77.99530854274,C+1 H+2 O+4,"{'C': 1, 'H': 2, 'O': 4}",77.99530854274,1,2,0,4
157,78.01056468403,C+5 H+2 O+1,"{'C': 5, 'H': 2, 'O': 1}",78.01056468403,5,2,0,1
158,78.03169405209,C+2 H+6 O+3,"{'C': 2, 'H': 6, 'O': 3}",78.03169405209,2,6,0,3
159,78.04695019338,C+6 H+6,"{'C': 6, 'H': 6}",78.04695019338,6,6,0,0
160,79.98982923914,C+4 O+2,"{'C': 4, 'O': 2}",79.98982923914,4,0,0,2
161,80.02621474848999,C+5 H+4 O+1,"{'C': 5, 'H': 4, 'O': 1}",80.02621474848999,5,4,0,1
162,80.06260025784,C+6 H+8,"{'C': 6, 'H': 8}",80.06260025784,6,8,0,0
163,82.0054793036,C+4 H+2 O+2,"{'C': 4, 'H': 2, 'O': 2}",82.0054793036,4,2,0,2
164,82.04186481295,C+5 H+6 O+1,"{'C': 5, 'H': 6, 'O': 1}",82.04186481295,5,6,0,1
165,84.02112936806,C+4 H+4 O+2,"{'C': 4, 'H': 4, 'O': 2}",84.02112936806,4,4,0,2
166,84.05751487741,C+5 H+8 O+1,"{'C': 5, 'H': 8, 'O': 1}",84.05751487741,5,8,0,1
167,86.00039392317001,C+3 H+2 O+3,"{'C': 3, 'H': 2, 'O': 3}",86.00039392317001,3,2,0,3
168,86.03677943252,C+4 H+6 O+2,"{'C': 4, 'H': 6, 'O': 2}",86.03677943252,4,6,0,2
169,87.97965847828,C+2 O+4,"{'C': 2, 'O': 4}",87.97965847828,2,0,0,4
170,88.01604398763001,C+3 H+4 O+3,"{'C': 3, 'H': 4, 'O': 3}",88.01604398763001,3,4,0,3
171,88.05242949698001,C+4 H+8 O+2,"{'C': 4, 'H': 8, 'O': 2}",88.05242949698001,4,8,0,2
172,89.99530854274,C+2 H+2 O+4,"{'C': 2, 'H': 2, 'O': 4}",89.99530854274,2,2,0,4
